cod_agrupacion_int,cod_agrupacion,nom_agrupacion
"0001","0131",FRENTE NOS
"0002","0132",FRENTE PATRIOTA
"0003","0133",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0004","0135",JUNTOS POR EL CAMBIO
"0005","0136",FRENTE DE TODOS
"0006","0137",CONSENSO FEDERAL
"0007","0013",MOVIMIENTO AL SOCIALISMO
"0008","0019",CONSERVADOR POPULAR
"0009","0023",UNION POPULAR
"0010","0033",UNIR
"0011","0036",PARTIDO AUTONOMISTA
"0012","0038",MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES
"0013","0040",MOVIMIENTO LIBRES DEL SUR
"0014","0050",PARTIDO SOCIALISTA
"0015","0057",MOVIMIENTO DE ACCION VECINAL
"0016","0005",DEMOCRATA CRISTIANO
"0017","0065",UNION CELESTE Y BLANCA
"0018","0068",NUEVA IZQUIERDA
"0019","0069",GEN
"0020","0071",PARTIDO DEL OBRERO
"0021","0079",PARTIDO RENOVADOR FEDERAL
"0022","0082",COMPROMISO FEDERAL
"0023","0086",FRENTE RENOVADOR AUTENTICO
"0024","0087",UNITE POR LA LIBERTAD Y LA DIGNIDAD
"0025","0088",PARTIDO DIGNIDAD POPULAR
"0026","0187",AUTODETERMINACION Y LIBERTAD
"0027","0262",EL MOVIMIENTO
"0028","0343",MOVIMIENTO DE JUBILADOS Y JUVENTUD
"0029","0501",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0030","0502",FRENTE DE TODOS
"0031","0503",JUNTOS POR EL CAMBIO
"0032","0504",CONSENSO FEDERAL
"0033",1911,FRENTE NOS
"0034",1912,CONVOCACIÓN CÍVICA CAMBIA SAN ISIDRO
"0035","0194",MOVIMIENTO VECINAL DE TRES ARROYOS-MV
"0036","0207",PARTIDO HUMANISTA
"0037","0244",PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES
"0038","0276",MOVIMIENTO DE AVANZADA SOCIALISTA
"0039","0309",MOVIMIENTO ORGANIZACION DEMOCRATICA
"0040","0312",FRENTE PATRIOTA
"0041","0314",PARTIDO REPUBLICANO FEDERAL
"0042","0315",MORAL Y PROGRESO
"0043","0364",ACCION MARPLATENSE-AM
"0044","0440",UNION VECINAL DE ADOLFO GONZALES CHAVES
"0045","0503",FRENTE DE TODOS
"0046","0585",CONCERTACION VECINAL
"0047","0697",ACCION POR VILLARINO
"0048","0737",PROPIN-PROPUESTA PINAMAR
"0049","0752",AGRUPACION ATLANTICA
"0050","0756",ALTERNATIVA VECINAL PLATENSE
"0051","0767",ESPACIO POLITICO AMPLIO
"0052","0792",UNION VECINAL SALLIQUELO
"0053","0808",SIEMPRE ITUZAINGO-SI-
"0054","0809",BIEN COMUN POR ROSALES
"0055","0816",PARTIDO DIGNIDAD POPULAR
"0056","0821",A. VECINALISTA PROYECTO LOCAL MERLENSE
"0057","0826","MISION, ACCION Y COMPROMISO"
"0058","0828",POR OLAVARRIA TODOS-POT
"0059","0833",ENCUENTRO PILARENSE
"0060","0850",AGRUPACION COMPROMISO VECINAL
"0061","0852",INTEGRACION VECINALISTA DE VILLARINO
"0062","0856",ACTITUD POSITIVA
"0063","0858",TODOS POR SAAVEDRA
"0064","0862",UNIÓN VECINAL INDEPENDIENTE
"0065","0865",FRENTE PATRIOTA
"0066","0866",TODOS X BAHIA
"0067","0867",SAN MIGUEL SOMOS TODOS
"0068","0868",AGRUPACION MUNICIPAL PRIMERO LOBOS
"0069","0870",ADN SAN ISIDRO
"0070","0873",A TODA COSTA
"0071","0874",JUNTOS POR PILAR
"0072","0877",BASE CIUDADANA
"0073","0884",SOMOS LUJAN
"0074","0885",UNION VECINAL DE BALCARCE-UVB
"0075","0886",A. MUNICIPAL ITUZAINGO POSITIVO
"0076","0888",UNIDAD Y ACCION POR MAR CHIQUITA
"0077","0183",FRENTE SOMOS CATAMARCA
"0078","0198",PARTIDO POPULAR
"0079","0210",UNITE
"0080","0218",UNION DEL CENTRO DEMOCRATICO
"0081","0501",FRENTE UNIDOS POR LA GENTE
"0082","0503",FRENTE DE TODOS
"0083","0504",CONSENSO FEDERAL
"0084","0505",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0085","0506",JUNTOS POR EL CAMBIO
"0086","0069",GEM
"0087","0217",ENCUENTRO VECINAL CORDOBA
"0088","0501",FRENTE DESPERTAR
"0089","0502",JUNTOS POR EL CAMBIO
"0090","0503",HACEMOS POR CORDOBA
"0091","0504",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0092","0505",FRENTE DE TODOS
"0093","0506",CONSENSO FEDERAL
"0094","0216",PARTIDO CIUDADANOS A GOBERNAR
"0095","0501",FRENTE DE TODOS
"0096","0502",ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO
"0097","0503",CONSENSO FEDERAL
"0098","0156",ACCION CHAQUEÑA
"0099","0179",PARTIDO CIUDADANOS A GOBERNAR
"0100","0180",PARTIDO PROYECTO SUR CHACO
"0101","0501",FRENTE DE TODOS
"0102","0502",ALTERNATIVA RENOVADORA FEDERAL
"0103","0503",JUNTOS POR EL CAMBIO
"0104","0504",CONSENSO FEDERAL
"0105","0151",PARTIDO INDEPENDIENTE DEL CHUBUT
"0106","0152",MOVIMIENTO POLO SOCIAL CHUBUT
"0107","0501",FRENTE DE TODOS
"0108","0502",CHUBUT AL FRENTE
"0109","0503",JUNTOS POR EL CAMBIO
"0110","0504",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0111","0501",FRENTE DE TODOS
"0112","0502",JUNTOS POR EL CAMBIO
"0113","0501",FRENTE DE TODOS
"0114","0502",CONSENSO FEDERAL
"0115","0503",FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO
"0116","0501",FRENTE DE TODOS
"0117","0502",JUNTOS POR EL CAMBIO
"0118","0503",CONSENSO FEDERAL
"0119","0504",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0120","0501",FRENTE DE TODOS
"0121","0502",JUNTOS POR EL CAMBIO
"0122","0503",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0123","0501",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0124","0502",JUNTOS POR LA RIOJA
"0125","0503",FRENTE DE TODOS
"0126","0222",PROTECTORA FUERZA POLITICA
"0127","0501",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0128","0502",FRENTE DE TODOS
"0129","0503",CAMBIA MENDOZA
"0130","0501",FRENTE RENOVADOR DE LA CONCORDIA
"0131","0502",FRENTE DE TODOS
"0132","0503",JUNTOS POR EL CAMBIO
"0133","0151",MOVIMIENTO POPULAR NEUQUINO
"0134","0501",JUNTOS POR EL CAMBIO
"0135","0502",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0136","0503",FRENTE DE TODOS
"0137","0504",CONSENSO FEDERAL
"0138","0169",JUNTOS SOMOS RIO NEGRO
"0139","0501",JUNTOS POR EL CAMBIO
"0140","0502",FRENTE DE TODOS
"0141","0503",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0142","0501",FRENTE DE TODOS
"0143","0502",UNION POR SALTA
"0144","0503",JUNTOS POR EL CAMBIO
"0145","0504",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0146","0168",PARTIDO DIGNIDAD CIUDADANA
"0147","0177",NUEVA DIRIGENCIA
"0148","0501",FRENTE DE TODOS
"0149","0502",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0150","0503",JUNTOS POR EL CAMBIO
"0151","0504",CONSENSO FEDERAL
"0152","0213",MOVIMIENTO AL SOCIALISMO
"0153","0501",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0154","0502",JUNTOS POR EL CAMBIO
"0155","0503",FRENTE DE TODOS
"0156","0176",FRENTE RENOVADOR AUTENTICO
"0157","0501",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0158","0502",FRENTE DE TODOS
"0159","0503",JUNTOS POR EL CAMBIO
"0160","0177",MOVIMIENTO INDEPENDIENTE RENOVADOR
"0161","0199",PARTIDO POPULAR
"0162","0501",FRENTE NOS
"0163","0502",CONSENSO FEDERAL
"0164","0503",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0165","0504",JUNTOS POR EL CAMBIO
"0166","0505",FRENTE DE TODOS
"0167","0506",ALTERNATIVA FEDERAL
"0168","0178",PARTIDO POPULAR
"0169","0179",PARTIDO DIGNIDAD POPULAR
"0170","0501",FRENTE CIVICO POR SANTIAGO
"0171","0502",FRENTE DE TODOS
"0172","0503",JUNTOS POR EL CAMBIO
"0173","0181",FUERZA REPUBLICANA
"0174","0501",FRENTE DE TODOS
"0175","0502",JUNTOS POR EL CAMBIO
"0176","0503",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
"0177","0504",CONSENSO FEDERAL
"0178","0187",PARTIDO SOCIAL PATAGONICO
"0179","0203",PARTIDO OBRERO
"0180","0501",FRENTE DE TODOS
"0181","0502",JUNTOS POR EL CAMBIO
"0182","0503",VAMOS TODOS A VIVIR MEJOR
"0000","0000",Votos no positivos
