cod_distrito,cod_seccion,cod_circuito,cod_categoria,cod_tipo_voto,cod_agrupacion_int,cod_lista,votos
"01","001","00001","01",p,"0135","0000",3087
"01","001","00001","01",p,"0131","0000",2411
"01","001","00001","01",p,"0138","0000",1102
"01","001","00001","01",p,"0137","0000",481
"01","001","00001","01",p,"0132","0000",392
"01","001","00001","01",b,"0000","0000",99
"01","001","00001","01",p,"0133","0000",76
"01","001","00001","01",n,"0000","0000",56
"01","001","00001","01",i,"0000","0000",3
"01","001","00001","01",r,"0000","0000","0"
"01","001","00002","01",p,"0135","0000",2816
"01","001","00002","01",p,"0131","0000",2269
"01","001","00002","01",p,"0138","0000",967
"01","001","00002","01",p,"0137","0000",452
"01","001","00002","01",p,"0132","0000",376
"01","001","00002","01",b,"0000","0000",107
"01","001","00002","01",p,"0133","0000",58
"01","001","00002","01",n,"0000","0000",57
"01","001","00002","01",r,"0000","0000",2
"01","001","00002","01",i,"0000","0000","0"
"01","001","00003","01",p,"0135","0000",1187
"01","001","00003","01",p,"0131","0000",173
"01","001","00003","01",p,"0138","0000",110
"01","001","00003","01",p,"0132","0000",40
"01","001","00003","01",p,"0137","0000",16
"01","001","00003","01",b,"0000","0000",12
"01","001","00003","01",p,"0133","0000",4
"01","001","00003","01",n,"0000","0000",1
"01","001","00003","01",i,"0000","0000","0"
"01","001","00003","01",r,"0000","0000","0"
"01","001","00004","01",p,"0135","0000",1210
"01","001","00004","01",p,"0131","0000",183
"01","001","00004","01",p,"0138","0000",108
"01","001","00004","01",p,"0132","0000",45
"01","001","00004","01",b,"0000","0000",12
"01","001","00004","01",p,"0137","0000",9
"01","001","00004","01",r,"0000","0000",1
"01","001","00004","01",p,"0133","0000",1
"01","001","00004","01",i,"0000","0000","0"
"01","001","00004","01",n,"0000","0000","0"
"01","001","00005","01",p,"0131","0000",2733
"01","001","00005","01",p,"0135","0000",891
"01","001","00005","01",p,"0138","0000",831
"01","001","00005","01",p,"0137","0000",161
"01","001","00005","01",p,"0132","0000",76
"01","001","00005","01",b,"0000","0000",67
"01","001","00005","01",n,"0000","0000",51
"01","001","00005","01",p,"0133","0000",32
"01","001","00005","01",r,"0000","0000",2
"01","001","00005","01",i,"0000","0000",1
"01","001","00006","01",p,"0135","0000",9693
"01","001","00006","01",p,"0131","0000",948
"01","001","00006","01",p,"0138","0000",704
"01","001","00006","01",p,"0132","0000",273
"01","001","00006","01",p,"0137","0000",138
"01","001","00006","01",b,"0000","0000",53
"01","001","00006","01",p,"0133","0000",40
"01","001","00006","01",n,"0000","0000",32
"01","001","00006","01",i,"0000","0000",2
"01","001","00006","01",r,"0000","0000",2
"01","001","00007","01",p,"0135","0000",4241
"01","001","00007","01",p,"0131","0000",693
"01","001","00007","01",p,"0138","0000",459
"01","001","00007","01",p,"0132","0000",175
"01","001","00007","01",p,"0137","0000",130
"01","001","00007","01",b,"0000","0000",34
"01","001","00007","01",p,"0133","0000",25
"01","001","00007","01",n,"0000","0000",23
"01","001","00007","01",i,"0000","0000",2
"01","001","00007","01",r,"0000","0000",1
"01","001","00008","01",p,"0135","0000",3644
"01","001","00008","01",p,"0131","0000",980
"01","001","00008","01",p,"0138","0000",557
"01","001","00008","01",p,"0132","0000",230
"01","001","00008","01",p,"0137","0000",147
"01","001","00008","01",b,"0000","0000",51
"01","001","00008","01",p,"0133","0000",35
"01","001","00008","01",n,"0000","0000",19
"01","001","00008","01",i,"0000","0000",3
"01","001","00008","01",r,"0000","0000",1
"01","001","00009","01",p,"0135","0000",4430
"01","001","00009","01",p,"0131","0000",1577
"01","001","00009","01",p,"0138","0000",966
"01","001","00009","01",p,"0137","0000",254
"01","001","00009","01",p,"0132","0000",235
"01","001","00009","01",b,"0000","0000",67
"01","001","00009","01",p,"0133","0000",66
"01","001","00009","01",n,"0000","0000",57
"01","001","00009","01",r,"0000","0000",3
"01","001","00009","01",i,"0000","0000","0"
"01","001","00010","01",p,"0135","0000",4924
"01","001","00010","01",p,"0131","0000",1837
"01","001","00010","01",p,"0138","0000",1041
"01","001","00010","01",p,"0132","0000",413
"01","001","00010","01",p,"0137","0000",292
"01","001","00010","01",b,"0000","0000",67
"01","001","00010","01",n,"0000","0000",47
"01","001","00010","01",p,"0133","0000",47
"01","001","00010","01",i,"0000","0000",3
"01","001","00010","01",r,"0000","0000","0"
"01","001","00011","01",p,"0135","0000",4097
"01","001","00011","01",p,"0131","0000",2402
"01","001","00011","01",p,"0138","0000",1233
"01","001","00011","01",p,"0132","0000",437
"01","001","00011","01",p,"0137","0000",424
"01","001","00011","01",b,"0000","0000",116
"01","001","00011","01",p,"0133","0000",69
"01","001","00011","01",n,"0000","0000",45
"01","001","00011","01",i,"0000","0000","0"
"01","001","00011","01",r,"0000","0000","0"
"01","001","00012","01",p,"0135","0000",3826
"01","001","00012","01",p,"0131","0000",2284
"01","001","00012","01",p,"0138","0000",1303
"01","001","00012","01",p,"0137","0000",403
"01","001","00012","01",p,"0132","0000",374
"01","001","00012","01",b,"0000","0000",84
"01","001","00012","01",p,"0133","0000",61
"01","001","00012","01",n,"0000","0000",54
"01","001","00012","01",i,"0000","0000","0"
"01","001","00012","01",r,"0000","0000","0"
"01","001","00013","01",p,"0135","0000",4163
"01","001","00013","01",p,"0131","0000",2605
"01","001","00013","01",p,"0138","0000",1530
"01","001","00013","01",p,"0137","0000",506
"01","001","00013","01",p,"0132","0000",419
"01","001","00013","01",b,"0000","0000",128
"01","001","00013","01",p,"0133","0000",74
"01","001","00013","01",n,"0000","0000",50
"01","001","00013","01",i,"0000","0000","0"
"01","001","00013","01",r,"0000","0000","0"
"01","001","00014","01",p,"0135","0000",1844
"01","001","00014","01",p,"0131","0000",941
"01","001","00014","01",p,"0138","0000",511
"01","001","00014","01",p,"0132","0000",141
"01","001","00014","01",p,"0137","0000",137
"01","001","00014","01",n,"0000","0000",31
"01","001","00014","01",b,"0000","0000",28
"01","001","00014","01",p,"0133","0000",26
"01","001","00014","01",i,"0000","0000","0"
"01","001","00014","01",r,"0000","0000","0"
"01","001","00015","01",p,"0135","0000",2369
"01","001","00015","01",p,"0131","0000",2022
"01","001","00015","01",p,"0138","0000",928
"01","001","00015","01",p,"0137","0000",361
"01","001","00015","01",p,"0132","0000",283
"01","001","00015","01",b,"0000","0000",83
"01","001","00015","01",p,"0133","0000",79
"01","001","00015","01",n,"0000","0000",38
"01","001","00015","01",r,"0000","0000",2
"01","001","00015","01",i,"0000","0000",1
"01","001","00016","01",p,"0135","0000",2559
"01","001","00016","01",p,"0131","0000",1897
"01","001","00016","01",p,"0138","0000",891
