cod_distrito,cod_seccion,cod_circuito,cod_categoria,cod_tipo_voto,cod_agrupacion_int,cod_lista,votos
"01","001","00001","01",p,"0005","0301",3002
"01","001","00001","01",p,"0004","0127",2637
"01","001","00001","01",p,"0006","0302",483
"01","001","00001","01",p,"0003","0034",343
"01","001","00001","01",b,"0000","0000",215
"01","001","00001","01",p,"0024","0530",209
"01","001","00001","01",p,"0007","0001",92
"01","001","00001","01",p,"0001","0032",75
"01","001","00001","01",n,"0000","0000",46
"01","001","00001","01",p,"0002","0033",19
"01","001","00001","01",p,"0011","0466",6
"01","001","00001","01",p,"0015","0501",6
"01","001","00001","01",i,"0000","0000",3
"01","001","00001","01",r,"0000","0000",1
"01","001","00002","01",p,"0005","0301",2868
"01","001","00002","01",p,"0004","0127",2274
"01","001","00002","01",p,"0006","0302",456
"01","001","00002","01",p,"0003","0034",335
"01","001","00002","01",b,"0000","0000",220
"01","001","00002","01",p,"0024","0530",219
"01","001","00002","01",p,"0007","0001",83
"01","001","00002","01",p,"0001","0032",81
"01","001","00002","01",n,"0000","0000",77
"01","001","00002","01",p,"0002","0033",16
"01","001","00002","01",p,"0015","0501",9
"01","001","00002","01",p,"0011","0466",3
"01","001","00002","01",r,"0000","0000",2
"01","001","00002","01",i,"0000","0000","0"
"01","001","00003","01",p,"0004","0127",2467
"01","001","00003","01",p,"0005","0301",466
"01","001","00003","01",p,"0006","0302",181
"01","001","00003","01",p,"0024","0530",139
"01","001","00003","01",b,"0000","0000",42
"01","001","00003","01",p,"0003","0034",31
"01","001","00003","01",p,"0001","0032",25
"01","001","00003","01",p,"0007","0001",12
"01","001","00003","01",n,"0000","0000",11
"01","001","00003","01",p,"0002","0033",1
"01","001","00003","01",p,"0011","0466",1
"01","001","00003","01",r,"0000","0000",1
"01","001","00003","01",i,"0000","0000","0"
"01","001","00003","01",p,"0015","0501","0"
"01","001","00005","01",p,"0005","0301",3616
"01","001","00005","01",p,"0004","0127",899
"01","001","00005","01",b,"0000","0000",242
"01","001","00005","01",p,"0006","0302",184
"01","001","00005","01",p,"0003","0034",176
"01","001","00005","01",p,"0024","0530",93
"01","001","00005","01",p,"0001","0032",70
"01","001","00005","01",n,"0000","0000",58
"01","001","00005","01",p,"0002","0033",20
"01","001","00005","01",p,"0007","0001",16
"01","001","00005","01",p,"0015","0501",14
"01","001","00005","01",p,"0011","0466",8
"01","001","00005","01",r,"0000","0000",5
